SerialNo,Candidate,Constituency,Party,CriminalCases,Education,Assest,Liabilities
173,Adv.Prakash Babu,KOZHIKODE,BJP,,Post Graduate,"Rs 35,24,377","Rs 3,43,064, "
174,Advocate Amit Kumar Gupta,ALWAR,IND,0,Graduate Professional,"Rs 1,10,52,767","Rs 48,74,000, "
175,Advocate Anjay Debsarma,RAIGANJ,IND,0,Post Graduate,"Rs 7,06,000","Rs 0, "
176,Advocate Bapu Singh Gujar,MANDSOUR,Hindusthan Nirman Dal,0,Post Graduate,"Rs 62,75,178","Rs 65,000, "
177,Advocate Parveen Yadav Wazirabad,GURGAON,Akhil Bharatiya Jan Sangh,0,Graduate Professional,"Rs 1,40,19,800","Rs 0, "
178,Advocate Prabhjot Singh,FATEHGARH SAHIB,IND,0,Post Graduate,"Rs 19,378","Rs 21,402, "
179,Advocate Prem Nath Sharma,VARANASI,Moulik Adhikar Party,0,Post Graduate,"Rs 33,08,426","Rs 0, "
180,Advocate Rakesh Kumar Shukla,KHAJURAHO,AIFB,0,Post Graduate,"Rs 1,41,80,097","Rs 0, "
181,Advocate Satyaprakash Shulke (Lodhi),BALAGHAT,Madhya Pradesh Jan Vikas Party,0,Graduate Professional,"Rs 5,50,000","Rs 0, "
182,Advocate-Devsingh Kumre,MANDLA,IND,0,Post Graduate,"Rs 24,43,500","Rs 10,00,000, "
183,Afajal Varis,AMETHI,Bahujan Mukti Party,,8th Pass,"Rs 22,57,300","Rs 0, "
184,Aftab Alam,DOMARIYAGANJ,BSP,,Graduate,"Rs 6,32,42,772","Rs 1,93,91,778, "
185,Aftab Mashwood Khan,MUMBAI NORTH WEST,IND,0,8th Pass,"Rs 80,62,800","Rs 0, "
186,Afzaal,MEERUT,Bahujan Maha Party,,8th Pass,"Rs 21,21,000","Rs 50,000, "
187,Afzal Ansari,GHAZIPUR,BSP,,Post Graduate,"Rs 13,79,38,756","Rs 0, "
188,Aga Syed Mohsin,SRINAGAR,Peoples Democratic Party,0,12th Pass,"Rs 1,20,50,000","Rs 0, "
189,Agarwal Kanaialal,RAIGANJ,AITC,,Post Graduate,"Rs 2,06,95,117","Rs 0, "
190,Agatha K. Sangma,TURA,NPP,0,Post Graduate,"Rs 2,94,06,813","Rs 0, "
