SerialNo,Candidate,Constituency,Party,CriminalCases,Education,Assest,Liabilities
140,Dr. Sanjay Jaiswal,PASCHIM CHAMPARAN,BJP,5,Post Graduate,"Rs 19,94,04,885","Rs 6,73,70,030, "
141,Dr. Satyapal Singh,BAGHPAT,BJP,1,Post Graduate,"Rs 7,81,95,793","Rs 0, "
142,Dr. Shafiqur Rehman Barq,SAMBHAL,SP,,Graduate,"Rs 1,32,96,671","Rs 0, "
143,Dr. Shrikant Eknath Shinde,KALYAN,SHS,1,Post Graduate,"Rs 1,96,16,515","Rs 12,41,233, "
144,Dr. Solanki Kiritbhai,AHMEDABAD WEST,BJP,,Post Graduate,"Rs 8,94,74,039","Rs 0, "
145,Dr. Umesh G Jadhav,GULBARGA,BJP,,Post Graduate,"Rs 3,74,90,597","Rs 0, "
146,Dr.A.Chellakumar,KRISHNAGIRI,INC,5,Post Graduate,"Rs 12,10,87,979","Rs 6,68,17,959, "
147,Dr.Beesetti Venkata Satyavathi,ANAKAPALLE,YSRCP,,Graduate Professional,"Rs 9,15,26,244","Rs 1,11,39,279, "
148,Dr.Bharatiben Dhirubhai Shiyal,BHAVNAGAR,BJP,,Graduate Professional,"Rs 1,77,53,161","Rs 36,89,036, "
149,Dr.Gaddam Ranjith Reddy,CHEVELLA,TRS,,Post Graduate,"Rs 1,63,46,95,131","Rs 19,70,07,553, "
150,Dr.K.C.Patel,VALSAD,BJP,,Graduate Professional,"Rs 6,82,39,480","Rs 0, "
151,Dr.K.Jayakumar,TIRUVALLUR,INC,,Doctorate,"Rs 2,45,83,769","Rs 0, "
152,Dulal Chandra Goswami,KATIHAR,JD(U),1,Graduate,"Rs 1,33,02,734","Rs 31,30,766, "
153,Durga Das (D.D.) Uikey,BETUL,BJP,,Post Graduate,"Rs 1,54,13,532","Rs 8,75,803, "
154,Dushyant,JHALAWAR BARAN,BJP,,Post Graduate,"Rs 37,04,32,373","Rs 8,58,24,156, "
155,E T Mohammed Basheer,PONNANI,IUML,,10th Pass,"Rs 81,03,274","Rs 0, "
156,Faggan Singh Kulaste,MANDLA,BJP,,Post Graduate,"Rs 2,67,02,373","Rs 10,00,075, "
157,Farooq Abdullah,SRINAGAR,Jammu & Kashmir National Conference,1,Graduate Professional,"Rs 12,19,04,435","Rs 0, "
158,Feroze Varun Gandhi,PILIBHIT,BJP,,Post Graduate,"Rs 60,32,00,539","Rs 2,89,52,800, "
159,G M Siddeshwar,DAVANAGERE,BJP,,10th Pass,"Rs 38,01,64,932","Rs 1,46,70,809, "
160,G S Basavaraj,TUMKUR,BJP,,Graduate Professional,"Rs 51,07,79,150","Rs 11,38,44,867, "
161,Gaddigoudar Parvatagouda Chandanagouda,BAGALKOT,BJP,,Graduate Professional,"Rs 4,39,80,663","Rs 79,87,991, "
162,Gajanan Chandrakant Kirtikar,MUMBAI NORTH WEST,SHS,,Graduate,"Rs 10,53,92,000","Rs 40,32,000, "
163,Gajendra Singh Shekhawat,JODHPUR,BJP,1,Post Graduate,"Rs 13,80,29,511","Rs 5,85,73,744, "
164,Gajendra Umrao Singh Patel,KHARGONE,BJP,,Graduate Professional,"Rs 6,73,03,990","Rs 18,85,020, "
165,Ganesh Singh,SATNA,BJP,2,Post Graduate,"Rs 4,17,19,076","Rs 0, "
166,Ganeshamurthi A,ERODE,DMK,,Graduate,"Rs 4,31,10,000","Rs 20,60,000, "
167,Gangapuram Kishan Reddy,SECUNDERABAD,BJP,,Others,"Rs 8,14,30,778","Rs 45,00,000, "
168,Gaurav Gogoi,KALIABOR,INC,,Post Graduate,"Rs 1,37,27,834","Rs 12,50,000, "
169,Gautam Gambhir,EAST DELHI,BJP,1,12th Pass,"Rs 1,47,15,87,789","Rs 34,20,35,860, "
170,Gautham Sigamani Pon,KALLAKURICHI,DMK,1,Post Graduate,"Rs 47,11,86,830","Rs 8,11,31,909, "
171,Gavit Rajendra Dhedya,PALGHAR,SHS,,Graduate,"Rs 8,76,16,920","Rs 3,02,23,375, "
172,Geeta Kora,SINGHBHUM,INC,1,Post Graduate,"Rs 2,52,49,018","Rs 19,28,508, "
173,Giridhari Yadav,BANKA,JD(U),1,Post Graduate,"Rs 1,98,16,050","Rs 4,05,701, "
174,Giriraj Singh,BEGUSARAI,BJP,6,Graduate,"Rs 8,30,24,577","Rs 1,22,36,000, "
175,Girish Bhalchandra Bapat,PUNE,BJP,1,Graduate,"Rs 5,79,59,302","Rs 17,93,891, "
176,Girish Chandra,NAGINA,BSP,1,12th Pass,"Rs 2,86,59,644","Rs 90,62,600, "
177,Gnanathiraviam S,TIRUNELVELI,DMK,4,10th Pass,"Rs 23,27,59,237","Rs 4,61,49,049, "
178,Goddeti Madhavi,ARAKU,YSRCP,,Graduate Professional,"Rs 1,41,179","Rs 0, "
179,Gomati,RAIGARH,BJP,,12th Pass,"Rs 70,43,539","Rs 0, "
180,Gopal Chinnaya Shetty,MUMBAI NORTH,BJP,9,5th Pass,"Rs 15,75,35,232","Rs 2,11,36,135, "
181,Gopaljee Thakur,DARBHANGA,BJP,,Post Graduate,"Rs 1,93,01,808","Rs 10,39,660, "
182,Guharam Ajgalle,JANJGIR CHAMPA,BJP,,Graduate Professional,"Rs 1,84,00,837","Rs 0, "
183,Guman Singh Damor	,RATLAM,BJP,,Graduate Professional,"Rs 4,20,72,262","Rs 48,90,940, "
184,Gurjeet Singh Aujla,AMRITSAR,INC,,12th Pass,"Rs 3,40,11,739","Rs 90,31,565, "
185,Haji Fazlur Rehman,SAHARANPUR,BSP,,Graduate,"Rs 4,61,46,135","Rs 60,000, "
186,Hans Raj Hans,NORTH WEST DELHI,BJP,,10th Pass,"Rs 13,09,37,732","Rs 4,78,97,494, "
187,Hanuman Beniwal,NAGAUR,Rashtriya Loktantrik Party,,Graduate Professional,"Rs 42,18,568","Rs 0, "
188,Harish Chandra Alias Harish Dwivedi,BASTI,BJP,5,Post Graduate,"Rs 86,62,344","Rs 3,22,490, "
189,Harsh Vardhan,CHANDNI CHOWK,BJP,,Post Graduate,"Rs 3,01,71,897","Rs 0, "
190,Harsimrat Kaur Badal,BATHINDA,SAD,,10th Pass,"Rs 2,17,99,19,870","Rs 95,48,52,600, "
191,Hasnain Masoodi,ANANTNAG,Jammu & Kashmir National Conference,,Post Graduate,"Rs 8,76,20,672","Rs 0, "
192,Heena Vijaykumar Gavit,NANDURBAR,BJP,,Post Graduate,"Rs 27,16,34,532","Rs 1,52,91,251, "
193,Hema Malini Dharmendra Deol,MATHURA,BJP,,Doctorate,"Rs 2,50,82,70,292","Rs 13,12,88,062, "
194,Hemant Tukaram Godse,NASHIK,SHS,1,Others,"Rs 14,68,69,996","Rs 4,10,83,126, "
195,Hibi Eden,ERNAKULAM,INC,7,Graduate,"Rs 79,08,467","Rs 2,00,000, "
196,Himadri Singh,SHAHDOL,BJP,,Graduate,"Rs 3,65,64,408","Rs 17,36,289, "
197,Horen Sing Bey,AUTONOMOUS DISTRICT,BJP,2,Graduate,"Rs 2,06,93,570","Rs 59,56,209, "
198,Imtiaz Jaleel Syed,AURANGABAD,AIMIM,4,Post Graduate,"Rs 2,95,62,768","Rs 68,00,000, "
199,Indra Hang Subba,SIKKIM,Sikkim Krantikari Morcha,,Post Graduate,"Rs 4,78,817","Rs 0, "
200,Jadhav Sanjay (Bandu) Haribhau,PARBHANI,SHS,6,10th Pass,"Rs 4,10,40,011","Rs 45,19,583, "
201,Jagannath Sarkar,RANAGHAT,BJP,1,Graduate Professional,"Rs 1,76,22,476","Rs 0, "
202,Jagdambika Pal,DOMARIYAGANJ,BJP,3,Post Graduate,"Rs 10,33,66,710","Rs 28,38,478, "
203,Jai Prakash,HARDOI,BJP,,Graduate,"Rs 23,40,32,624","Rs 26,15,368, "
204,Janardan Prasad Mishra,REWA,BJP,,Graduate Professional,"Rs 2,03,59,750","Rs 5,80,627, "
205,Janardan Singh Sigriwal,MAHARAJGANJ,BJP,5,Graduate,"Rs 1,04,51,986","Rs 3,76,000, "
206,Jardosh Darshnaben Vikrambhai,SURAT,BJP,,Graduate,"Rs 2,38,72,876","Rs 0, "
207,Jasbir Singh Gill,KHADOOR SAHIB,INC,,Others,"Rs 8,13,93,500","Rs 46,55,000, "
208,Jaskaur Meena,DAUSA,BJP,,Post Graduate,"Rs 14,37,42,564","Rs 58,25,431, "
209,Jasvantsinh Sumanbhai Bhabhor,DAHOD,BJP,,Graduate Professional,"Rs 2,70,70,480","Rs 0, "
210,Jayadev Galla,GUNTUR,TDP,,Graduate,"Rs 3,05,14,85,242","Rs 20,34,52,417, "
211,Jayant Sinha,HAZARIBAGH,BJP,,Post Graduate,"Rs 77,07,49,002","Rs 19,32,71,437, "
212,Jayanta Kumar Roy,JALPAIGURI,BJP,,Graduate Professional,"Rs 1,16,25,047","Rs 13,52,581, "
213,Jigajinagi Ramesh Chandappa,BIJAPUR,BJP,,Graduate,"Rs 50,41,22,985","Rs 16,00,000, "
214,John Barla,ALIPURDUARS,BJP,9,8th Pass,"Rs 14,18,730","Rs 0, "
215,Jothimani S,KARUR,INC,,Post Graduate,"Rs 60,46,055","Rs 3,79,000, "
